pattern_key_v2,n,1号艇,威力1位,威力2位,威力3位,威力4位,威力5位
1号[粘り型] | 筆頭[2号:差し] | 連動有,26888,0.6596994941981553,0.12685956560547457,0.09431716750966974,0.06259297828027373,0.04061291282356441,0.015917881582862243
1号[粘り型] | 筆頭[3号:まくり] | 連動有,16340,0.6621787025703795,0.13237454100367196,0.08623011015911873,0.06107711138310894,0.04118727050183599,0.016952264381884945
1号[粘り型] | 筆頭[4号:まくり] | 連動有,16132,0.6337713860649641,0.14982643193652367,0.09323084552442351,0.06545995536821225,0.04271014133399455,0.015001239771881975
1号[粘り型] | 筆頭[3号:まくり差し] | 連動有,14015,0.6643596146985373,0.1445594006421691,0.08162682839814485,0.05750981091687478,0.03995718872636461,0.011987156617909382
1号[差され型] | 筆頭[2号:差し] | 連動有,9560,0.3817991631799163,0.26610878661087867,0.16223849372384938,0.10324267782426778,0.06119246861924686,0.025418410041841005
1号[まくられ型] | 筆頭[2号:差し] | 連動有,8540,0.3940281030444965,0.2799765807962529,0.14988290398126464,0.09402810304449649,0.06135831381733021,0.020725995316159252
1号[まくられ型] | 筆頭[3号:まくり] | 連動有,6093,0.39586410635155095,0.23600853438371902,0.16871820121450845,0.1125882159855572,0.06302314130969966,0.023797800754964713
1号[まくられ型] | 筆頭[4号:まくり] | 連動有,5874,0.3891726251276813,0.22029281579843377,0.17585972080354104,0.1264896152536602,0.06418113721484509,0.02400408580183861
1号[粘り型] | 筆頭[2号:まくり] | 連動有,4481,0.6480696273153314,0.13099754519080561,0.09685338094175407,0.0682883284981031,0.04173175630439634,0.014059361749609462
1号[粘り型] | 筆頭[5号:まくり差し] | 連動有,4333,0.6605123471036234,0.10662358642972536,0.08931456265866605,0.07200553888760673,0.054696515116547426,0.016847449803831065
1号[粘り型] | 筆頭[2号:差し] | 連動無,3616,0.7027101769911505,0.11172566371681415,0.08075221238938053,0.05669247787610619,0.03733407079646018,0.010785398230088495
1号[粘り型] | 筆頭[4号:まくり差し] | 連動有,3226,0.6509609423434594,0.1463112213267204,0.08214507129572225,0.06602603843769374,0.03905765654060756,0.015499070055796652
1号[まくられ型] | 筆頭[3号:まくり差し] | 連動有,3095,0.38352180936995156,0.3027463651050081,0.1421647819063005,0.09305331179321487,0.05848142164781906,0.020032310177705976
