pattern_label,count
1号:粘り型 | 攻め[2号:攻め力なし/3号:攻め力なし/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],91
1号:粘り型 | 攻め[2号:攻め力なし/3号:まくり型/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],89
1号:粘り型 | 攻め[2号:まくり型/3号:攻め力なし/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[なし],89
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:まくり型/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->4;2->5;3->4;3->5;4->5],89
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:攻め力なし/5号:まくり差し型/6号:攻め力なし] | 連動[3->5],86
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5;5->3;5->4],86
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:まくり差し型/6号:まくり差し型] | 連動[2->3;2->4;2->5;2->6;3->4;3->5;3->6;4->3;4->5;4->6;5->3;5->4;5->6],84
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり+まくり差し)/4号:攻め力なし/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->5;3->5],83
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:まくり差し型] | 連動[2->3;2->4;2->5;2->6;3->4;3->5;3->6;4->3;4->5;4->6],83
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[3->4;3->5;4->3;4->5],82
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+まくり差し)/5号:攻め力なし/6号:攻め力なし] | 連動[3->4;4->3],82
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:まくり差し型] | 連動[2->3;2->4;2->5;2->6;3->4;3->5;3->6;4->3;4->5;4->6],81
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[3->4;3->5;4->5],81
1号:まくられ型 | 攻め[2号:差し型/3号:攻め力なし/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[なし],80
1号:粘り型 | 攻め[2号:攻め力なし/3号:まくり差し型/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[4->3],80
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:まくり型/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],80
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[3->4;3->5;4->3;4->5],79
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:まくり型/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[なし],79
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:まくり差し型/5号:攻め力なし/6号:攻め力なし] | 連動[3->4],79
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[2->3;4->3],78
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+まくり差し)/5号:攻め力なし/6号:攻め力なし] | 連動[2->3;2->4;3->4;4->3],77
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5;5->3;5->4],76
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5;5->3;5->4],76
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:まくり差し型/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],76
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:まくり差し型] | 連動[2->3;2->4;2->5;2->6;3->4;3->5;3->6;4->3;4->5;4->6;5->3;5->4;5->6],75
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:まくり型/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->5;3->5;4->3;4->5],75
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:攻め力なし/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->5;3->5],75
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:まくり型/5号:まくり差し型/6号:まくり差し型] | 連動[2->3;2->4;2->5;2->6;3->4;3->5;3->6;4->3;4->5;4->6;5->3;5->4;5->6],75
1号:差され型 | 攻め[2号:差し型/3号:攻め力なし/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[なし],75
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:まくり差し型/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[2->3;4->3],74
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5;5->3;5->4],73
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり差し+まくり)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],73
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:まくり差し型] | 連動[2->3;2->4;2->5;2->6;3->4;3->5;3->6;4->3;4->5;4->6;5->3;5->4;5->6],72
1号:粘り型 | 攻め[2号:攻め力なし/3号:攻め力なし/4号:攻め力なし/5号:まくり差し型/6号:攻め力なし] | 連動[なし],71
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+まくり差し)/5号:攻め力なし/6号:攻め力なし] | 連動[2->3;2->4;3->4;4->3],71
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[2->3;4->3],71
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->5;3->5;4->3;4->5],71
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:複合型(まくり+まくり差し)/5号:攻め力なし/6号:攻め力なし] | 連動[3->4],71
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:まくり差し型] | 連動[2->3;2->4;2->5;2->6;3->4;3->5;3->6;4->3;4->5;4->6],71
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:まくり型/5号:まくり差し型/6号:まくり差し型] | 連動[2->3;2->4;2->5;2->6;3->4;3->5;3->6;4->3;4->5;4->6],70
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:まくり差し型/5号:まくり差し型/6号:攻め力なし] | 連動[3->4;3->5],70
1号:まくられ型 | 攻め[2号:差し型/3号:まくり型/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[なし],70
1号:まくられ型 | 攻め[2号:差し型/3号:まくり型/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],70
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:まくり型/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],69
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5;5->3;5->4],69
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5;5->3;5->4],69
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->4;2->5;3->4;3->5;4->5],69
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[3->5;4->3;4->5],69
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:攻め力なし/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],68
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:攻め力なし/4号:攻め力なし/5号:まくり差し型/6号:攻め力なし] | 連動[2->5],68
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[4->3;4->5],67
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[2->3;4->3],67
1号:まくられ型 | 攻め[2号:差し型/3号:攻め力なし/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],67
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:まくり型/5号:まくり差し型/6号:まくり差し型] | 連動[2->3;2->4;2->5;2->6;3->4;3->5;3->6;4->3;4->5;4->6;5->3;5->4;5->6],67
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:まくり型/4号:攻め力なし/5号:まくり差し型/6号:攻め力なし] | 連動[2->5;3->5],67
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->5;3->5;4->3;4->5],66
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[2->3;2->4;3->4;4->3],66
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり差し+まくり)/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5;5->3;5->4],66
1号:差され型 | 攻め[2号:差し型/3号:攻め力なし/4号:まくり型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],66
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+まくり差し)/5号:複合型(まくり+まくり差し)/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5;5->3;5->4],65
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[3->5;4->3;4->5],65
1号:粘り型 | 攻め[2号:差し型/3号:まくり型/4号:差し型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],65
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:攻め力なし/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->5;4->5],65
1号:まくられ型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],64
1号:粘り型 | 攻め[2号:差し型/3号:まくり差し型/4号:複合型(まくり+まくり差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;4->3;4->5],63
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり差し+まくり)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->5;3->5;4->3;4->5],63
1号:粘り型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:複合型(まくり+差し)/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],62
1号:粘り型 | 攻め[2号:差し型/3号:攻め力なし/4号:差し型/5号:攻め力なし/6号:攻め力なし] | 連動[なし],62
1号:粘り型 | 攻め[2号:複合型(差し+まくり)/3号:複合型(まくり+まくり差し)/4号:攻め力なし/5号:攻め力なし/6号:攻め力なし] | 連動[2->3],62
1号:まくられ型 | 攻め[2号:差し型/3号:複合型(まくり+まくり差し)/4号:まくり型/5号:まくり差し型/6号:攻め力なし] | 連動[2->3;2->4;2->5;3->4;3->5;4->3;4->5],62
